Profiling main()
         32360166 function calls (32291039 primitive calls) in 63.379 seconds

   Ordered by: cumulative time
   List reduced from 5167 to 90 due to restriction <'agent.py|basis.py|model_dynamics.py|ergodic_controllers.py|barrier.py|replay_buffer.py|obstacles.py'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5000    0.301    0.000   23.895    0.005 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:607(calcUsafe)
   190000    1.559    0.000   17.929    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:518(calcPotentialU)
   185000    0.141    0.000   17.562    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:538(calcH)
     5000    0.341    0.000   17.308    0.003 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:563(calcHessianH)
  2470000    3.203    0.000   16.370    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:226(U)
      200    0.163    0.001   14.461    0.072 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:120(calcNextActionTriplet)
  1755000    3.075    0.000   11.400    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:47(_rhoFunc)
      200    7.082    0.035   11.345    0.057 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:73(simulateAdjointBackward)
   415000    3.196    0.000    3.323    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:53(dFk_dx)
   780000    1.995    0.000    2.143    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:121(_rhoFunc)
    33600    0.038    0.000    1.843    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:66(uDef)
     5000    0.054    0.000    1.646    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:547(calcHGradient)
    38600    0.899    0.000    1.515    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:93(readAction)
   482525    0.290    0.000    1.498    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:114(calcPhikCoeff)
    14600    0.062    0.000    1.378    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:76(phi_w_obs)
   168668    0.495    0.000    1.314    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:156(withinReach)
        1    0.000    0.000    1.234    1.234 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:77(precalcAllPhiK)
      200    0.003    0.000    1.168    0.006 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:211(calcApplicationTime)
      200    0.022    0.000    1.161    0.006 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:225(<listcomp>)
      201    0.045    0.000    1.143    0.006 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:226(simulateForward)
    16800    0.073    0.000    1.139    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:214(Jt)
     5000    0.102    0.000    1.025    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:528(calcPotentialUGradient)
    65000    0.313    0.000    0.919    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:241(gradU)
        1    0.000    0.000    0.870    0.870 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:1(<module>)
